rowNum,listing_title,listing_distance_miles,listing_url,price,listingPriceRedu,Body Style,Drive Type,Engine,Mileage,Transmission,ATC Car ID,Fuel,Stock #,VIN,carFeaturesText,exterior,interior,sellerComment,Basic Warranty,Corrosion Warranty,Drivetrain Warranty,Roadside Assistance Warranty,newListingIndicator,Dealer,model,seller,year,ownershipStatus,Location,sellerType,CityMpg,HyMpg
117,Used 2010 Jeep Wrangler Sport,955,/cars-for-sale/vehicledetails.xhtml?listingId=484399411&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,18500,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,54500,Automatic,AT-1CDF5933,Gasoline,Information Unavailable,1J4AA2D14AL131684,CD PlayerCruise ControlPower LocksPower WindowsPremium AudioPremium WheelsSecurity System,#000000,#454545,"Original owner, low miles, clean title. Locally driven commuter vehicle. Have 2 so one has to go. 3.8l V6, automatic, black on gray with hardtop.",NA,NA,NA,NA,TRUE,Private Seller,Sport,NA,2010,Used,Provo,Private,NA,NA
118,Used 2013 Jeep Wrangler Unlimited Sahara,960,/cars-for-sale/vehicledetails.xhtml?listingId=483438145&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,26800,FALSE,Sport Utility,2 wheel drive - front,6-Cylinder,71500,Automatic,AT-1CD0AE41,Gasoline,Information Unavailable,1C4HJWEG8DL571071,Bluetooth Hands-FreeCD PlayerCruise ControlHeated SeatsLeather SeatsMulti-zone Climate ControlNavigationPower LocksPower WindowsPremium Audio,#A31B1B,#000000,"I'm 74 retired it is a one owner I bought the Jeep in 2013, will be out of country for half of the year, too nice of a Jeep to part, someone should enjoy. We are non-smokers, no children or pets, serviced as needed, good tires., A/C ice cold, All scheduled maintenance, All records, Custom wheels, Excellent condition, Factory GPS system, Fully loaded with all the goodies, Looks & drives great, Mostly highway miles, Must see, Never seen snow, New paint, New tires, No accidents, Non-smoker, One owner, Perfect first car, Satellite radio, Seats like new, Still under factory warranty, Upgraded sound system, Very clean interior, Well maintained",NA,NA,NA,NA,FALSE,Private Seller,Unlimited Sahara,NA,2013,Used,Provo,Private,NA,NA
119,Used 2014 Jeep Grand Cherokee Limited,960,/cars-for-sale/vehicledetails.xhtml?listingId=466618815&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=JEEPGRAND,23500,FALSE,Sport Utility,4 wheel drive - rear,8-Cylinder,78310,Automatic,AT-1BD009BF,Gasoline,Information Unavailable,1C4RJFBT8EC187301,Backup CameraBluetooth Hands-FreeCruise ControlHeated SeatsKeyless EntryLeather SeatsMulti-zone Climate ControlNavigationPortable Audio ConnectionPower Locks,#D7D7D7,#F5F5DC,"This Grand Cherokee is loaded for a limited as it has the Hemi V8, A/C Seats, Halo Headlights and the panoramic roof! We bought this in 8/17 (a month ago!) and the ONLY reason we are selling is I received an unexpected bonus and we bought a brand new one which you can see when you come to look. I searched for 2 months to find a limited around this price and this is a must see. Going to be the only one on here with all these features at this price. I clicked one owner because it was until I bought it and we have put 1000 miles on it at most. Previous owner said the miles were 99% highway as he used it to commute for work. If you are in the market come check this out. A/C ice cold, Always garaged, Fully loaded with all the goodies, Looks & drives great, Mostly highway miles, Must see, New tires, No accidents, Non-smoker, One owner, Satellite radio, Upgraded sound system, Very clean interior, Well maintained",NA,NA,NA,NA,FALSE,Private Seller,Limited,NA,2014,Used,Provo,Private,NA,NA
120,Used 2016 Jeep Wrangler Sport,962,/cars-for-sale/vehicledetails.xhtml?listingId=484845203&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,25990,FALSE,Sport Utility,4 wheel drive,6-Cylinder,13e3,Automatic,AT-1CE62693,Gasoline,Information Unavailable,1C4AJWAG7GL348855,Bluetooth Hands-FreeCD PlayerSteering Wheel Controls,#D7D7D7,#000000,"SHOWROOM CONDITION! AWD Automatic, Soft top, 13K miles, BT hands free Sat radio, A/C ice cold, Running board, Clear Coat, All records, Always garaged, Excellent condition, Looks & drives like new,  Never been off roading, Non-smoker, Still under factory warranty, Back seat removable, Tire certs with GY.",NA,NA,NA,NA,TRUE,Private Seller,Sport,NA,2016,Used,Provo,Private,NA,NA
121,Used 2008 Jeep Wrangler Unlimited X,963,/cars-for-sale/vehicledetails.xhtml?listingId=484844920&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,19995,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,106e3,Automatic,AT-1CE62578,Gasoline,Information Unavailable,1J4GA39198L564369,Cruise ControlKeyless EntryPower LocksPower WindowsTrailer Hitch,#D7D7D7,#000000,"We have owned this vehicle since brand new in February 2008. We have included many accessories to this vehicle, i.e., KC lights, custom screen in front grille, door threshold protection, grab handles. The vehicle came equipped with Black package from Jeep. This vehicle has never been &quot;4wheeling&quot; and has not been off pavement that many times. Recently, August 2017,have new brakes, wheel bearings, front tie rods, new shocks, new tires etc.................., Excellent condition, Looks & drives great, Mostly highway miles, New tires, No accidents, Non-smoker, One owner, Satellite radio, Seats like new, Very clean interior, Well maintained",NA,NA,NA,NA,TRUE,Private Seller,Unlimited X,NA,2008,Used,Provo,Private,NA,NA
122,Used 2002 Jeep Wrangler Sport,965,/cars-for-sale/vehicledetails.xhtml?listingId=465281668&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,12e3,FALSE,Sport Utility,4 wheel drive,6-Cylinder,78700,Manual,AT-1BBBA284,Gasoline,Information Unavailable,1J4FA39S62P770298,Lift KitPremium AudioTrailer Hitch,#000000,#D2B48C,"A/C ice cold. Always garaged. New tires. Title in hand. Upgraded sound system. Well maintained.8.8  customer  rear end with  Aussie locker. No rock rash under frame.  Adjustable lower control arms .  tom woods  driveshaft. KM2  35/12/15 tires, two tops Black and Tan.  The blacktop is a rampage boneless soft top with tinted windows .  It has hard doors . I have a backseat for but it's not installed.  There's a speaker box  where the backseat goes now..  I love this jeep I hate to see it go.  I don't really drive it much anymore and I could use the money for down payment on a house .",NA,NA,NA,NA,FALSE,Private Seller,Sport,NA,2002,Used,Provo,Private,NA,NA
123,Used 2006 Jeep Grand Cherokee Limited,966,/cars-for-sale/vehicledetails.xhtml?listingId=482709022&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=JEEPGRAND,2e4,TRUE,Sport Utility,4 wheel drive,8-Cylinder,125586,Automatic,AT-1CC58E1E,Gasoline,Information Unavailable,1J8HR58286C353114,Bluetooth Hands-FreeCD PlayerCruise ControlHeated SeatsLeather SeatsLift KitMulti-zone Climate ControlPremium AudioPremium WheelsSecurity System,#05518D,#454545,"*REDUCED PRICE*I'm selling my 2006 Jeep Grand Cherokee Limited 5.7l Hemi with Quadradrive 2 4x4 systemClean title, inspected and registered in Feburary.It has regular 3,000 mile oil changes, and was given a complete tune up 25,000 miles ago.The condition of the Jeep is outstanding, it runs strong, it rides smooth and the way it's setup it can handle most any terrain you want to drive at a moments notice. The list of modifications is too much to list on here without writing a book so email, text, or call me if you have any questions about anything.The Jeep came from the factory with leather seats, heated front seats, sunroof, tow package, etc.",NA,NA,NA,NA,FALSE,Private Seller,Limited,NA,2006,Used,Provo,Private,NA,NA
124,Used 2014 Jeep Grand Cherokee Limited,967,/cars-for-sale/vehicledetails.xhtml?listingId=465918925&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=JEEPGRAND,23900,FALSE,Sport Utility,2 wheel drive - rear,6-Cylinder,51800,Automatic,AT-1BC55BCD,Gasoline,Information Unavailable,1C4RJEBG7EC227641,Backup CameraBluetooth Hands-FreeCruise ControlHeated SeatsKeyless EntryLeather SeatsMulti-zone Climate ControlNavigationPortable Audio ConnectionPower Locks,#8B8B8B,#000000,"JEEP GRAND CHEROKEE LIMITED-RWD-PANORAMA SUNROOF-NAVIGATION-REAR VIEW CAMERA-FRONT COOLED AND HEATED SEATS- REAR HEATED SEATS-BLUETOOTH- CLEAN CARFAX-SERVICE RECORDS 2014 JEEP GRAND CHEROKEE LIMITED 2WD AUTOMATIC 3.6L V6 SFI. BEAUTIFUL BILLET SILVER METALLIC CLEARCOAT EXTERIOR WITH MATCHING MORACCO BLACK NAPA LEATHER INTERIOR. LOADED WITH POWER, MEMORY COOLED AND HEATED LEATHER SEATS, AUTOMATIC TRANSMISSION WITH PADDLE SHIFTERS, LIMITED,DUAL-PANE PANORAMIC POWER SUNROOF, NAVIGATION, REAR-VIEW CAMERA, REAR HEATED SEATS, BLUETOOTH, U-CONNECT, REMOTE START, HEATED STEERING WHEEL WITH CONTROLS, 8.4 INCH  DIGITAL INFO DISPLAY, DUAL CLIMATE CONTROL, TEMP/COMPASS GAUGES, DRIVE MODE SELECT, ECO MODE, TRACTION CONTROL, UNIVERSAL HOME LINK, CRUISE CONTROL, POWER LIFTGATE, PARK ASSIST, 18&quot; ALLOY RIMS, DUAL EXHAUST,  AUX/USB/SD/HD/BLUETOOTH/SAT RADIO, AND MUCH MUCH MORE.... THIS JEEP IS IN PERFECT CONDITION?.COME SEE FOR YOURSELF! WarrantyOriginal WarrantyDrivetrain 5 Years/100,000 MilesCorrosion 5 Years/100,000 MilesRoadside Assistance 5 Years/100,000 Miles ",NA,NA,NA,NA,FALSE,Private Seller,Limited,NA,2014,Used,Provo,Private,NA,NA
125,Used 2009 Jeep Wrangler Unlimited,971,/cars-for-sale/vehicledetails.xhtml?listingId=458622035&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,23995,FALSE,Sport Utility,4 wheel drive,6 Cylinder,111419,Automatic,AT-1B560453,Gasoline,Information Unavailable,1J4GA69179L752150,CD PlayerKeyless EntryLift KitPower LocksTrailer Hitch,#FF7700,#454545,"Please call shak on this clean LIFTED 2009 JEEP WRANGLER UNLIMITED RUBICON 4x4/wd 3.8 OHV 12-VALVE SMPI V6 engine, Automatic Transmission. Fully equipped with every single Accessory available for Jeep., Custom wheels, Excellent condition, Fully loaded with all the goodies, Must see, No accidents, Non-smoker, Seats like new, Title in hand, Very clean interior",NA,NA,NA,NA,FALSE,Private Seller,Unlimited,NA,2009,Used,Provo,Private,NA,NA
126,Used 2008 Jeep Wrangler Unlimited Sahara,971,/cars-for-sale/vehicledetails.xhtml?listingId=483467526&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,20900,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,88e3,Automatic,AT-1CD12106,Gasoline,Information Unavailable,1J4GA39118L532774,Bluetooth Hands-FreeCD PlayerCruise ControlKeyless EntryLift KitNavigationPortable Audio ConnectionPower LocksPower WindowsPremium Audio,#000000,#454545,"For sale is a beautiful 2008 Jeep Wrangler Unlimited X with only 85k miles with a clean car fax! Factory Dana 44 HD Rear axle with 3.10 gears!!!This Jeep truly turns heads everywhere and gets thumbs ups from everybody! Absolutely no problems or check engine lights.... runs perfect!!!!It has many high dollar tasteful upgrades and drives as wonderful as it looks. You will not find a Jeep that rides better on the road with a 3&quot; lift and nearly brand new 33&quot; tires. 100% clean Car Fax! Comes with an amazing frameless fastback soft top. This rig is perfect for the daily commute, weekend driver or those looking to hit the offroad terrain! If you're looking for an amazing Jeep built out and at the best price, this is your Jeep. I have a clean title for a quick and easy transaction. I do not finance, am not looking for trades and am firm on the price as this is the best priced Jeep out there of it's kind... look around you will see this is the best deal and will not last long. Phone calls only please (to avoid spammers)... no texts or emails. Please call Taylor at 580-920-6663. I am going to attempt to list the upgrades below, however I'm sure I will miss a few* 3&quot; Suspension Lift* Dana 44 HD Axles* 3.10 Gears* MT Wheels (All 5)* 33&quot; Hankook DynaPro Mud Terrain Tires NEARLY BRAND NEW!!!(All 5)* Angry Bird Flat Back Grill* Custom LED Lights w/ Halo Rings* Custom Rock Sliders* Bluetooth* XM Radio* Aux Input* Cold Air Intake* CB Radio* Wild Boar Grab Handles* Custom Flat Fender Flares* Smittybilt Front Bumper* Smittybilt 9500 LB Winch* Viper Alarm System* Towing Package* Automatic Locks* Automatic Windows* Keyless Entry* All Terrain Floor Mats* Framless Fastback Soft Top in Excellent Condition* 100% Clean Car Fax",NA,NA,NA,NA,FALSE,Private Seller,Unlimited Sahara,NA,2008,Used,Provo,Private,NA,NA
127,Used 2014 Jeep Grand Cherokee Laredo,972,/cars-for-sale/vehicledetails.xhtml?listingId=479865086&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=JEEPGRAND,19e3,FALSE,Sport Utility,Information Unavailable,Information Unavailable,47e3,Information Unavailable,AT-1C9A28FE,Information Unavailable,Information Unavailable,Information Unavailable,NA,#05518D,#D2B48C,"2014 Jeep Grand Cherokee Laredo in excellent condition. Only visible flaw (and nobody has ever mentioned) is a nick on the drivers side rear view mirror, which is in the photos. 4 tires purchased recently. Car seat, as seen in photos, is not included.",NA,NA,NA,NA,FALSE,Private Seller,Laredo,NA,2014,Used,Provo,Private,NA,NA
128,Used 2015 Jeep Grand Cherokee Limited,981,/cars-for-sale/vehicledetails.xhtml?listingId=479629529&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=JEEPGRAND,22700,FALSE,Sport Utility,4 wheel drive - front,6-Cylinder,85100,Information Unavailable,AT-1C9690D9,Gasoline,Information Unavailable,1C4RJFBG3FC664320,Backup CameraBluetooth Hands-FreeCruise ControlHeated SeatsKeyless EntryLeather SeatsMulti-zone Climate ControlNavigationPortable Audio ConnectionPower Locks,NA,#000000,"We bought this car new on Dec. 31st, 2014. Don't want to sell, but the wife now has a company car. It has high mileage due to her travelling for her job. However, you will not find a 2015 in as nice of condition as this on. Still runs and drives like new. If you're looking at used Grand Cherokees, please look at this one. You'll be glad you did.",NA,NA,NA,NA,FALSE,Private Seller,Limited,NA,2015,Used,Provo,Private,NA,NA
129,Used 2014 Jeep Grand Cherokee Laredo,981,/cars-for-sale/vehicledetails.xhtml?listingId=474336915&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=JEEPGRAND,19900,FALSE,Sport Utility,4 wheel drive,6-Cylinder,69800,Automatic,AT-1C45CE93,Gasoline,Information Unavailable,1C4RJFAG1EC123377,Backup CameraCruise ControlDVD PlayerKeyless EntryLeather SeatsMulti-zone Climate ControlPortable Audio ConnectionPower LocksPower WindowsPremium Wheels,#D7D7D7,#000000,"***Back up for sale as of 3/22/18***-Upgraded leather interior from dealer-Factory upgraded black Jeep wheels with all terrain tires (tires are in great shape)-Aftermarket fold down TV for back seat-Backup camera-4x4-3.6L V6 engine with 8 speed transmission (Average 20mpg in town and 24+mpg on the highway, plenty of power)-69,800 miles (will go up as it's my daily driver)-SiriusXM Satellite Radio-Laredo packageThe Jeep is in excellent condition inside and out (see pictures for details), no known issues, runs and drives great. The only reason I am selling is because I need a truck. Asking $19,900 OBO. No joyrides, no trades, serious inquiries only. Text or call 479-586-1900 if interested. Thanks.",NA,NA,NA,NA,FALSE,Private Seller,Laredo,NA,2014,Used,Provo,Private,NA,NA
130,Used 2015 Jeep Renegade Latitude,1001,/cars-for-sale/vehicledetails.xhtml?listingId=455548807&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=JEEPRENEG,18500,FALSE,Sport Utility,4 wheel drive,4-Cylinder,20200,Manual,AT-1B271F87,Gasoline,Information Unavailable,Information Unavailable,Backup CameraBluetooth Hands-FreeCruise ControlNavigationPower LocksPower WindowsPremium WheelsSunroof,#E31313,#000000,"2015 JEEP RENEGADE LATITUDE 4x4. Red with Black Interior.  1.4 liter turbo engine. 6 speed manual transmission.  12 K miles, most highway.  2 moon roofs that are easy to use.Excellent condition, Looks & drives great, No accidents, Non-smoker, One owner, Very clean interior, Well maintained. A fun ride and a must see.",NA,NA,NA,NA,FALSE,Private Seller,Latitude,NA,2015,Used,Provo,Private,NA,NA
131,Used 2004 Jeep Wrangler Rubicon,1011,/cars-for-sale/vehicledetails.xhtml?listingId=459594183&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,16500,FALSE,Sport Utility,4 wheel drive,6-Cylinder,117e3,Manual,AT-1B64D9C7,Gasoline,Information Unavailable,Information Unavailable,CD PlayerCruise ControlPremium WheelsTrailer Hitch,#F3D511,#000000,Adult driven....almost new full canvas top...has canvas doors if wanted.....new wide Goodyear tires(no road whining)....speaker bar....cold air....cruise control.....Black Mountain accessories....clean body......no leaks.....well maintained.....,NA,NA,NA,NA,FALSE,Private Seller,Rubicon,NA,2004,Used,Provo,Private,NA,NA
132,Used 2005 Jeep Wrangler X,1011,/cars-for-sale/vehicledetails.xhtml?listingId=457849589&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,18e3,FALSE,Sport Utility,4 wheel drive,6-Cylinder,105500,Automatic,AT-1B4A3AF5,Gasoline,Information Unavailable,Information Unavailable,CD PlayerCruise ControlLift KitSunroofTrailer Hitch,#E31313,#454545,"If you are looking for a well built TJ this is it.  For starters, this is a 2005 TJ with 4.0, auto, A/C, Hard top, and cruise control.  I have invested nearly $15,000 in drivetrain and suspension.  Mods include, Rock Krawler 3.5 inch long arm lift kit, Ninth Degree Mobility spring relocator kit (adds 2&quot; of lift), Bilstein 5160 shocks, 35&quot; Pitbull Rocker Radials (50% or better), 15x8 steel wheels, 4.88 gears with Eaton E-Lockers front and rear, Terra flex high steer kit with high mount trac bar, 2wd low kit in transfer case, slip yolk eliminator kit, w/ rear CV drive shaft, Lizard skin sound and thermal coating inside tubEngine, Transmission, steering box, and fuel tank skid plates, Aluminum radiator, w/ electric fan, wired for thermostat control, off or on.  Super Chip programmer, Royal Purple fluids, and many more.I have almost all of the receipts and title in hand.",NA,NA,NA,NA,FALSE,Private Seller,X,NA,2005,Used,Provo,Private,NA,NA
133,Used 1985 Jeep CJ 7,1025,/cars-for-sale/vehicledetails.xhtml?listingId=470034138&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=JEEPCJ,11500,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,148516,Manual,AT-1C0426DA,Gasoline,Information Unavailable,1JCCF87E2FT019134,Lift Kit,#D7D7D7,#000000,"Custom paint/graphics, Custom wheels, Tires are like new, new transmission, new clutch, Plenty of upgrades on this Jeep , a must see. Great for a weekend cruise or to take to the hunting lease.",NA,NA,NA,NA,FALSE,Private Seller,7,NA,1985,Used,Provo,Private,NA,NA
134,Used 2009 Jeep Wrangler Unlimited X,1029,/cars-for-sale/vehicledetails.xhtml?listingId=484725091&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D100%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=100&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,19e3,FALSE,Sport Utility,4 wheel drive - front,6-Cylinder,79700,Automatic,AT-1CE45163,Gasoline,Information Unavailable,1J4GA391X9L752920,Lift KitPortable Audio ConnectionPremium Wheels,#E31313,#454545,"A beautiful red, soft top Jeep with aftermarket XD wheels and new Nitto Trail grappler tires, and aftermarket N-Fab black steel step bars. About a 1.5inch procomp liftkitApproaching 80,000 miles and at a great value right now. Runs very well and has been up to date on all services and maintenance upkeep. Very clean inside and out. Averages about 16-17mpg but can get up to 18-20 on a smooth driving highway. Very enjoyable and fun car but it?s time for me to move on so I want someone else to buy and enjoy it as much as I did!",NA,NA,NA,NA,TRUE,Private Seller,Unlimited X,NA,2009,Used,Provo,Private,NA,NA
